CountryName,Date,AgeRange,SourceName,URL
China,2021-04-12,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f0de4b2c6a1f4f16b8ed58901946931a.shtml
China,2021-04-13,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/0f1e58f027664c078e46665cb6b869e3.shtml
China,2021-04-14,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/fdc6ca0da1f240298a6274d0b6a539fe.shtml
China,2021-04-15,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/080e685e7a0b47bcb7bfef7e02499a45.shtml
China,2021-04-16,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/d2755da833374735ab125abcc2699849.shtml
China,2021-04-17,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f024fd41574a4132bd5b007c12b71a17.shtml
China,2021-04-18,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6f2444d14dce4ccda1a53554feaa153a.shtml
China,2021-04-19,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/aa7229fe6d6d439aa60c884692cbc202.shtml
China,2021-04-20,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/4f3b401243cb4c57a940b6b9902f2bd9.shtml
China,2021-04-21,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/7596959f303944f0965a75f7f9ef5539.shtml
China,2021-04-22,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/fd626cb91aec4991b39e7197cdaa8885.shtml
China,2021-04-23,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6a06d971a4e34c69b48f47dfeff9cb11.shtml
China,2021-04-24,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/571c23a11513435db0246103873d1639.shtml
China,2021-04-25,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1e17e9266d1e4fa883ef2e480b37b40d.shtml
China,2021-04-26,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6342f4bb39114716bcd1cb5c452cb704.shtml
China,2021-04-27,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/6fa3e91fe96f424ab144c1f33fcafab9.shtml
China,2021-04-28,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/693f417183cb44bd8a774b2f1419c399.shtml
China,2021-04-29,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/347a9fa13b3e4a428cae5d54d058fd4e.shtml
China,2021-04-30,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/24b44c42bc9140b8a8f47769678e113d.shtml
China,2021-05-01,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/2e1664555701455ba9d3b84189f95776.shtml
China,2021-05-02,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/a7bed5e941be4e679c83bcb4ee5b603b.shtml
China,2021-05-03,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/e9af9abc284a41cbb52ea0089c5e8012.shtml
China,2021-05-04,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/1531d77b498d46eb8853297e8d9c7c84.shtml
China,2021-05-05,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/c953cb843e384c21941d489f6ac66f7f.shtml
China,2021-05-06,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/e129e5425ffb4686b053ddbd550e9305.shtml
China,2021-05-07,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/a5babdbadf2e48348f1d5e053159d891.shtml
China,2021-05-08,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/dc8199af5c2a49d5a7475f7004ff4901.shtml
China,2021-05-09,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/cd31bab9052a447eae2d1388a9cf601d.shtml
China,2021-05-10,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/1d39b2d2ff1a447894d71e7e5b67d847.shtml
China,2021-05-11,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/0aee1b23440e42c49df395f5f2900636.shtml
China,2021-05-12,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/b7bc06a552664328970365fb3a735501.shtml
China,2021-05-13,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/3d1e04af70e54341a44242c6dc607115.shtml
China,2021-05-14,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/09de8b7859bc4403bde228a737cfa121.shtml
China,2021-05-15,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/0f6e49055a0d404ca88e4d7bea980065.shtml
China,2021-05-16,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/2636a2e16c6c4fc89e2358bd3898b9ce.shtml
China,2021-05-17,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/d6d3f0285aac443492eacb54229e7fbb.shtml
China,2021-05-18,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/beda31b9f97b4c3cae8afba056330f98.shtml
China,2021-05-19,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/4336f905c94d4e63bbb4e55302214a98.shtml
China,2021-05-20,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/61ca087702164c328e87f2ed3516a77f.shtml
China,2021-05-21,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/5077e137a981420191949ae0a78b7e07.shtml
China,2021-05-22,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/7221884f11274319884d8b117459c980.shtml
China,2021-05-23,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/afbb6bb24f864a7ba1db6614198ed694.shtml
China,2021-05-24,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/3e082b13ab6442c2a9f3c39a9022498a.shtml
China,2021-05-25,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/993e4d140563489581ae4c6f46589cd3.shtml
China,2021-05-26,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/36daebf9b3e64743ad0101eb5de99a0e.shtml
China,2021-05-27,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/c24473c47d174853883263be6224aa08.shtml
China,2021-05-28,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/41095a9c33f84918bd7c2178b0197d3e.shtml
China,2021-05-29,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/8902b7eefe21410f80809b69877de220.shtml
China,2021-05-30,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202105/d0846315c0eb47398c688460e74a88ee.shtml
China,2021-05-31,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/6c7027253d164dd0af5f35e6cfe5876e.shtml
China,2021-06-01,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/9db49006ea4d4ab78e5a59a318cfea4f.shtml
China,2021-06-02,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/3ff617f188134b1c80a4920b7b25a609.shtml
China,2021-06-03,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/bd36bf049b4541cba84d5984c76b527e.shtml
China,2021-06-04,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/37acb04cceb04e4aaae6893a9bad3916.shtml
China,2021-06-05,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/193847fa4d304c038fe42e45142c2289.shtml
China,2021-06-06,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/09dace9cad2a4907be424b0887d1a873.shtml
China,2021-06-07,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/f97274715d7c4f969c30909f83e4c8f4.shtml
China,2021-06-08,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/6a50b63968e84d24aebac02e75626b95.shtml
China,2021-06-09,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/99e9c0d61a244a49b74873c10da173df.shtml
China,2021-06-10,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202106/e28487f08ad745c5952356e448a87f13.shtml
China,2021-06-11,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/361693e0f94b4aee91f87534a6a55c72.shtml
China,2021-06-12,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/0c0ef78796004b6d8710074d95c41c96.shtml
China,2021-06-13,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/12fa90b8940a454a9ef277fdac7a39d4.shtml
China,2021-06-14,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/961215a2f9974b5988855d9fb55d89e0.shtml
China,2021-06-15,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/55adb725f1b54665815be7e73e3c83db.shtml
China,2021-06-16,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/33a723c6caf74dd99c2efa2f8156f72a.shtml
China,2021-06-17,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/5f0a37302be54ec08cc10d37275f2f89.shtml
China,2021-06-18,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/9a10c06abebc496fa7d6124c527b2fae.shtml
China,2021-06-19,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/a170c7ae7fda4809af3961dc6d79c2ff.shtml
China,2021-06-20,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml
China,2021-06-21,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/beff1109ca1f42aca1adaca564eaac14.shtml
China,2021-06-22,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/94c91da29b1a41fca00ab6bf4b4f32cd.shtml
China,2021-06-23,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/d38cff6ee53248ae93ae4f1b808357d6.shtml
China,2021-06-24,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/88f52193e017454797849d2df572201f.shtml
China,2021-06-25,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/d9e2a34c3ed94a42ad37aecdb359f1ae.shtml
China,2021-06-26,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/90421eab3d8841acad840ef1e48f0d37.shtml
China,2021-06-27,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/6e26629586ef4da184f1e0a8b32761ae.shtml
China,2021-06-28,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/74ed0aa148744960988030bf6a3186da.shtml
China,2021-06-29,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/67dc906521854d33966e55e222a60941.shtml
China,2021-06-30,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/2a4b54053a4c416ca8cb62a9f7f9edb7.shtml
China,2021-07-01,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/e65157ce424f48c0b6f9f05c9855b526.shtml
China,2021-07-02,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/a20dc2587b664ca4ab26bd6800a3de89.shtml
China,2021-07-03,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/eca9a2401360415b84fbd3b62e362ec1.shtml
China,2021-07-04,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/28eeeae09f26401383185cfef72a8368.shtml
China,2021-07-05,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/7556cf8d3bf4443b8343e93f038ffbd4.shtml
China,2021-07-06,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/5617c924149f405baf37bec1020f76e5.shtml
China,2021-07-07,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/131087b17fe44568b05c189a7512259c.shtml
China,2021-07-08,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/b2e4240b4da342d2878824f430863fcc.shtml
China,2021-07-09,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/4e61b9db4be649b5b8eef7ec6396d6b3.shtml
China,2021-07-10,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/1efc0522cf6840d588347b7d529fb988.shtml
China,2021-07-11,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/350e483540b54bda948c8816e64d3ecf.shtml
China,2021-07-12,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/f132e3b541824f8abf51ba504f0ce50b.shtml
China,2021-07-13,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/ee186c5952bf4066a845954b8ec7d561.shtml
China,2021-07-14,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/3e5a9b6d536c48bf8d57ca9a7bf08817.shtml
China,2021-07-15,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/6fb6e12e27e04dd1815c5742fc5b8dfb.shtml
China,2021-07-16,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/b17bb27474e54f1d980fec46a3fe16a8.shtml
China,2021-07-17,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/ab60eb82c9524b01910e6061fb4216ab.shtml
China,2021-07-18,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/a1923a0b996448258aa7d26ca41797cc.shtml
China,2021-07-19,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/85e198dec50c4400b2dff160b97d9908.shtml
China,2021-07-20,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/abc2bd8dfead4f8ca9b1a36f11fe24c1.shtml
China,2021-07-21,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/3df346b9c3b64006963c8093d47ad725.shtml
China,2021-07-22,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/1c8671825659484d9110efb9e7573230.shtml
China,2021-07-23,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/1460008ea51d456391ff3405fab20c85.shtml
China,2021-07-24,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/6ea19a1d67de4c798d52a4193c06e738.shtml
China,2021-07-25,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/8348635aeddd4ac58dcef6276fdbcda8.shtml
China,2021-07-26,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/d9fb9651e6214f648a412d9b892c684d.shtml
China,2021-07-27,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202107/172756a4036f4f0ab7ab734bfdb39ca0.shtml
China,2021-07-28,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202107/247c2795b5c14a909bd12bdc634803e1.shtml
China,2021-07-29,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202107/a254a488ffcd479e83ca8883b592d098.shtml
China,2021-07-30,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202107/b979481d6c364473a3f5863853fb7ad1.shtml
China,2021-07-31,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/cb8b1aa884eb4da1bdcc31a4e90a5337.shtml
China,2021-08-01,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/e20e290678ea4c7dadd8d80a3a303a1a.shtml
China,2021-08-02,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/9044b294e03a417b9be06665a6bc4478.shtml
China,2021-08-03,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/8b14279dd96d4bb2a84000b4969c08e3.shtml
China,2021-08-04,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/39679e47dbb849e386f64247fd241082.shtml
China,2021-08-05,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/60c5f536c898462b83264bb719699e16.shtml
China,2021-08-06,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/7191e83058b24d79b7104c3b716e94aa.shtml
China,2021-08-07,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/e2e021c2b8d04516a08477ae34499262.shtml
China,2021-08-08,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/58fdf39d51a745e3a8a0a4eb98d96984.shtml
China,2021-08-09,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/86bf5cbbf91e490bbb484244a190092a.shtml
China,2021-08-10,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/5f13b4539acc4276bbb9cfd9dfa5bec8.shtml
China,2021-08-11,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/9ec02a8bf9954af2a8ca452e18a1136c.shtml
China,2021-08-12,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202108/6c77e46253b84b1f9cca2d5aa4a0f76b.shtml
China,2021-08-13,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/f18691e9a2c9474485557d80f4dad093.shtml
China,2021-08-14,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/05856d8cfabf48d4949b4379b076d308.shtml
China,2021-08-15,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/57c084ce991c49b0a3a685528543891f.shtml
China,2021-08-16,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/0103c2752a84466db735fe6cbfdcc26c.shtml
China,2021-08-17,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/9123f8d095304c48b4843dc80185ea9d.shtml
China,2021-08-18,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/838eac7e251d4513aa985f158add89d3.shtml
China,2021-08-19,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/afb009eb54eb4fff86c9d9595ecb74f3.shtml
China,2021-08-20,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/3960a74ad4804dfd8d95e8cfead0b73e.shtml
China,2021-08-21,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/d2b1143179fb48d883be03a8b1b97398.shtml
China,2021-08-22,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/70501814de9345ad9e9ae4083d1e2f3e.shtml
China,2021-08-23,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/7da864e2bc3541b8b9562646ff797ccd.shtml
China,2021-08-24,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/be52c13a94d94568bd87db40f9c4222e.shtml
China,2021-08-25,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202108/dd50de9b920b43268d5f61d8d90e79d9.shtml
