ManufacturerName,CountryName,Date,TotalVaccinations
Sinopharm/Beijing,Argentina,2021-02-07,72
Sputnik V,Argentina,2021-02-07,533255
Oxford/AstraZeneca,Argentina,2021-02-08,152
Sinopharm/Beijing,Argentina,2021-02-08,74
Sputnik V,Argentina,2021-02-08,556688
Moderna,Argentina,2021-02-09,3
Oxford/AstraZeneca,Argentina,2021-02-09,154
Sinopharm/Beijing,Argentina,2021-02-09,80
Sputnik V,Argentina,2021-02-09,576884
Oxford/AstraZeneca,Argentina,2021-02-10,157
Sinopharm/Beijing,Argentina,2021-02-10,85
Sputnik V,Argentina,2021-02-10,592505
Oxford/AstraZeneca,Argentina,2021-02-11,160
Sinopharm/Beijing,Argentina,2021-02-11,91
Sputnik V,Argentina,2021-02-11,610358
Oxford/AstraZeneca,Argentina,2021-02-12,161
Sinopharm/Beijing,Argentina,2021-02-12,92
Sputnik V,Argentina,2021-02-12,626200
Oxford/AstraZeneca,Argentina,2021-02-13,163
Sinopharm/Beijing,Argentina,2021-02-13,94
Sputnik V,Argentina,2021-02-13,629232
Sinopharm/Beijing,Argentina,2021-02-14,96
Sputnik V,Argentina,2021-02-14,629383
Pfizer/BioNTech,Argentina,2021-02-15,17
Sinopharm/Beijing,Argentina,2021-02-15,98
Sputnik V,Argentina,2021-02-15,630698
Oxford/AstraZeneca,Argentina,2021-02-16,175
Pfizer/BioNTech,Argentina,2021-02-16,18
Sinopharm/Beijing,Argentina,2021-02-16,100
Sputnik V,Argentina,2021-02-16,631996
Oxford/AstraZeneca,Argentina,2021-02-17,186
Sinopharm/Beijing,Argentina,2021-02-17,103
Sputnik V,Argentina,2021-02-17,656399
Oxford/AstraZeneca,Argentina,2021-02-18,217
Pfizer/BioNTech,Argentina,2021-02-18,19
Sinopharm/Beijing,Argentina,2021-02-18,107
Sputnik V,Argentina,2021-02-18,720212
Oxford/AstraZeneca,Argentina,2021-02-19,407
Sinopharm/Beijing,Argentina,2021-02-19,108
Sputnik V,Argentina,2021-02-19,787933
Oxford/AstraZeneca,Argentina,2021-02-20,555
Sinopharm/Beijing,Argentina,2021-02-20,109
Sputnik V,Argentina,2021-02-20,820409
Oxford/AstraZeneca,Argentina,2021-02-21,956
Sputnik V,Argentina,2021-02-21,840190
Oxford/AstraZeneca,Argentina,2021-02-22,23569
Sputnik V,Argentina,2021-02-22,885173
Oxford/AstraZeneca,Argentina,2021-02-23,73783
Sinopharm/Beijing,Argentina,2021-02-23,111
Sputnik V,Argentina,2021-02-23,921941
Oxford/AstraZeneca,Argentina,2021-02-24,135888
Sinopharm/Beijing,Argentina,2021-02-24,114
Sputnik V,Argentina,2021-02-24,953704
Oxford/AstraZeneca,Argentina,2021-02-25,189066
Sinopharm/Beijing,Argentina,2021-02-25,118
Sputnik V,Argentina,2021-02-25,980022
Oxford/AstraZeneca,Argentina,2021-02-26,245141
Sinopharm/Beijing,Argentina,2021-02-26,127
Sputnik V,Argentina,2021-02-26,1005664
Moderna,Argentina,2021-02-27,4
Oxford/AstraZeneca,Argentina,2021-02-27,258491
Sinopharm/Beijing,Argentina,2021-02-27,128
Sputnik V,Argentina,2021-02-27,1010224
Oxford/AstraZeneca,Argentina,2021-02-28,263842
Sinopharm/Beijing,Argentina,2021-02-28,129
Sputnik V,Argentina,2021-02-28,1011001
Oxford/AstraZeneca,Argentina,2021-03-01,317182
Sinopharm/Beijing,Argentina,2021-03-01,831
Sputnik V,Argentina,2021-03-01,1031548
Oxford/AstraZeneca,Argentina,2021-03-02,368832
Sinopharm/Beijing,Argentina,2021-03-02,5797
Sputnik V,Argentina,2021-03-02,1050580
Oxford/AstraZeneca,Argentina,2021-03-03,404831
Sinopharm/Beijing,Argentina,2021-03-03,23634
Sputnik V,Argentina,2021-03-03,1068274
Oxford/AstraZeneca,Argentina,2021-03-04,430562
Sinopharm/Beijing,Argentina,2021-03-04,87942
Sputnik V,Argentina,2021-03-04,1090340
Oxford/AstraZeneca,Argentina,2021-03-05,454862
Sinopharm/Beijing,Argentina,2021-03-05,154460
Sputnik V,Argentina,2021-03-05,1111289
Oxford/AstraZeneca,Argentina,2021-03-06,462781
Sinopharm/Beijing,Argentina,2021-03-06,196888
Sputnik V,Argentina,2021-03-06,1115893
Oxford/AstraZeneca,Argentina,2021-03-07,467757
Sinopharm/Beijing,Argentina,2021-03-07,203333
Sputnik V,Argentina,2021-03-07,1116270
Oxford/AstraZeneca,Argentina,2021-03-08,499342
Pfizer/BioNTech,Argentina,2021-03-08,20
Sinopharm/Beijing,Argentina,2021-03-08,256286
Sputnik V,Argentina,2021-03-08,1134256
Oxford/AstraZeneca,Argentina,2021-03-09,515689
Sinopharm/Beijing,Argentina,2021-03-09,319405
Sputnik V,Argentina,2021-03-09,1170622
Oxford/AstraZeneca,Argentina,2021-03-10,527779
Sinopharm/Beijing,Argentina,2021-03-10,418153
Sputnik V,Argentina,2021-03-10,1223800
Oxford/AstraZeneca,Argentina,2021-03-11,537726
Sinopharm/Beijing,Argentina,2021-03-11,503050
Sputnik V,Argentina,2021-03-11,1315876
Oxford/AstraZeneca,Argentina,2021-03-12,545250
Sinopharm/Beijing,Argentina,2021-03-12,564204
Sputnik V,Argentina,2021-03-12,1408901
Oxford/AstraZeneca,Argentina,2021-03-13,548229
Sinopharm/Beijing,Argentina,2021-03-13,574711
Sputnik V,Argentina,2021-03-13,1441817
Oxford/AstraZeneca,Argentina,2021-03-14,548278
Sinopharm/Beijing,Argentina,2021-03-14,581369
Sputnik V,Argentina,2021-03-14,1444284
Oxford/AstraZeneca,Argentina,2021-03-15,554702
Sinopharm/Beijing,Argentina,2021-03-15,621994
Sputnik V,Argentina,2021-03-15,1534889
Oxford/AstraZeneca,Argentina,2021-03-16,557822
Sinopharm/Beijing,Argentina,2021-03-16,656674
Sputnik V,Argentina,2021-03-16,1630850
Oxford/AstraZeneca,Argentina,2021-03-17,560535
Sinopharm/Beijing,Argentina,2021-03-17,679655
Sputnik V,Argentina,2021-03-17,1744779
Moderna,Argentina,2021-03-18,6
Oxford/AstraZeneca,Argentina,2021-03-18,562224
Sinopharm/Beijing,Argentina,2021-03-18,701809
Sputnik V,Argentina,2021-03-18,1859921
Oxford/AstraZeneca,Argentina,2021-03-19,564073
Pfizer/BioNTech,Argentina,2021-03-19,21
Sinopharm/Beijing,Argentina,2021-03-19,725418
Sputnik V,Argentina,2021-03-19,1960688
Oxford/AstraZeneca,Argentina,2021-03-20,564415
Sinopharm/Beijing,Argentina,2021-03-20,729358
Sputnik V,Argentina,2021-03-20,2007298
CanSino,Argentina,2021-03-21,5
Oxford/AstraZeneca,Argentina,2021-03-21,564438
Sinopharm/Beijing,Argentina,2021-03-21,729707
Sputnik V,Argentina,2021-03-21,2026561
Oxford/AstraZeneca,Argentina,2021-03-22,565910
Sinopharm/Beijing,Argentina,2021-03-22,747109
Sputnik V,Argentina,2021-03-22,2090768
Oxford/AstraZeneca,Argentina,2021-03-23,570601
Sinopharm/Beijing,Argentina,2021-03-23,760669
Sputnik V,Argentina,2021-03-23,2179027
Oxford/AstraZeneca,Argentina,2021-03-24,571879
Sinopharm/Beijing,Argentina,2021-03-24,763811
Sputnik V,Argentina,2021-03-24,2212076
Oxford/AstraZeneca,Argentina,2021-03-25,573235
Sinopharm/Beijing,Argentina,2021-03-25,774716
Sputnik V,Argentina,2021-03-25,2303034
Oxford/AstraZeneca,Argentina,2021-03-26,575891
Sinopharm/Beijing,Argentina,2021-03-26,783894
Sputnik V,Argentina,2021-03-26,2384794
Moderna,Argentina,2021-03-27,7
Oxford/AstraZeneca,Argentina,2021-03-27,576785
Sinopharm/Beijing,Argentina,2021-03-27,786202
Sputnik V,Argentina,2021-03-27,2436700
Oxford/AstraZeneca,Argentina,2021-03-28,577692
Pfizer/BioNTech,Argentina,2021-03-28,23
Sinopharm/Beijing,Argentina,2021-03-28,786677
Sputnik V,Argentina,2021-03-28,2456151
Oxford/AstraZeneca,Argentina,2021-03-29,581285
Pfizer/BioNTech,Argentina,2021-03-29,24
Sinopharm/Beijing,Argentina,2021-03-29,798184
Sputnik V,Argentina,2021-03-29,2561275
Oxford/AstraZeneca,Argentina,2021-03-30,584168
Pfizer/BioNTech,Argentina,2021-03-30,25
Sinopharm/Beijing,Argentina,2021-03-30,808684
Sputnik V,Argentina,2021-03-30,2710966
Oxford/AstraZeneca,Argentina,2021-03-31,604116
Sinopharm/Beijing,Argentina,2021-03-31,820699
Sputnik V,Argentina,2021-03-31,2854002
Oxford/AstraZeneca,Argentina,2021-04-01,629693
Sinopharm/Beijing,Argentina,2021-04-01,824462
Sputnik V,Argentina,2021-04-01,2941830
Oxford/AstraZeneca,Argentina,2021-04-02,642518
Sinopharm/Beijing,Argentina,2021-04-02,826784
Sputnik V,Argentina,2021-04-02,2994853
Oxford/AstraZeneca,Argentina,2021-04-03,661161
Sinopharm/Beijing,Argentina,2021-04-03,827875
Sputnik V,Argentina,2021-04-03,3049601
Moderna,Argentina,2021-04-04,8
Oxford/AstraZeneca,Argentina,2021-04-04,675558
Sinopharm/Beijing,Argentina,2021-04-04,829539
Sputnik V,Argentina,2021-04-04,3082037
Oxford/AstraZeneca,Argentina,2021-04-05,709399
Sinopharm/Beijing,Argentina,2021-04-05,858673
Sputnik V,Argentina,2021-04-05,3185101
Oxford/AstraZeneca,Argentina,2021-04-06,735867
Sinopharm/Beijing,Argentina,2021-04-06,933831
Sputnik V,Argentina,2021-04-06,3277524
Oxford/AstraZeneca,Argentina,2021-04-07,766109
Sinopharm/Beijing,Argentina,2021-04-07,1052158
Sputnik V,Argentina,2021-04-07,3367432
Oxford/AstraZeneca,Argentina,2021-04-08,790207
Pfizer/BioNTech,Argentina,2021-04-08,28
Sinopharm/Beijing,Argentina,2021-04-08,1182470
Sputnik V,Argentina,2021-04-08,3449026
Oxford/AstraZeneca,Argentina,2021-04-09,808564
Sinopharm/Beijing,Argentina,2021-04-09,1330065
Sputnik V,Argentina,2021-04-09,3523517
Oxford/AstraZeneca,Argentina,2021-04-10,813382
Sinopharm/Beijing,Argentina,2021-04-10,1384058
Sputnik V,Argentina,2021-04-10,3557664
Oxford/AstraZeneca,Argentina,2021-04-11,814249
Sinopharm/Beijing,Argentina,2021-04-11,1416914
Sputnik V,Argentina,2021-04-11,3572260
Oxford/AstraZeneca,Argentina,2021-04-12,824166
Sinopharm/Beijing,Argentina,2021-04-12,1512279
Sputnik V,Argentina,2021-04-12,3648828
Moderna,Argentina,2021-04-13,9
Oxford/AstraZeneca,Argentina,2021-04-13,832513
Sinopharm/Beijing,Argentina,2021-04-13,1594777
Sputnik V,Argentina,2021-04-13,3744098
Oxford/AstraZeneca,Argentina,2021-04-14,838958
Pfizer/BioNTech,Argentina,2021-04-14,29
Sinopharm/Beijing,Argentina,2021-04-14,1662164
Sputnik V,Argentina,2021-04-14,3841990
Oxford/AstraZeneca,Argentina,2021-04-15,843158
Sinopharm/Beijing,Argentina,2021-04-15,1713353
Sputnik V,Argentina,2021-04-15,3937740
Oxford/AstraZeneca,Argentina,2021-04-16,846443
Sinopharm/Beijing,Argentina,2021-04-16,1759468
Sputnik V,Argentina,2021-04-16,4012090
Oxford/AstraZeneca,Argentina,2021-04-17,847337
Sinopharm/Beijing,Argentina,2021-04-17,1775587
Sputnik V,Argentina,2021-04-17,4040807
Oxford/AstraZeneca,Argentina,2021-04-18,848612
Sinopharm/Beijing,Argentina,2021-04-18,1777850
Sputnik V,Argentina,2021-04-18,4057176
Oxford/AstraZeneca,Argentina,2021-04-19,864012
Pfizer/BioNTech,Argentina,2021-04-19,30
Sinopharm/Beijing,Argentina,2021-04-19,1802817
Sputnik V,Argentina,2021-04-19,4107319
Oxford/AstraZeneca,Argentina,2021-04-20,916554
Sinopharm/Beijing,Argentina,2021-04-20,1826860
Sputnik V,Argentina,2021-04-20,4153499
CanSino,Argentina,2021-04-21,6
Moderna,Argentina,2021-04-21,10
Oxford/AstraZeneca,Argentina,2021-04-21,1036850
Sinopharm/Beijing,Argentina,2021-04-21,1848084
Sputnik V,Argentina,2021-04-21,4185991
CanSino,Argentina,2021-04-22,7
Oxford/AstraZeneca,Argentina,2021-04-22,1154181
Sinopharm/Beijing,Argentina,2021-04-22,1863652
Sputnik V,Argentina,2021-04-22,4231335
Oxford/AstraZeneca,Argentina,2021-04-23,1272525
Sinopharm/Beijing,Argentina,2021-04-23,1877754
Sputnik V,Argentina,2021-04-23,4293495
Oxford/AstraZeneca,Argentina,2021-04-24,1326393
Sinopharm/Beijing,Argentina,2021-04-24,1879326
Sputnik V,Argentina,2021-04-24,4330314
Oxford/AstraZeneca,Argentina,2021-04-25,1358853
Sinopharm/Beijing,Argentina,2021-04-25,1879701
Sputnik V,Argentina,2021-04-25,4346802
Oxford/AstraZeneca,Argentina,2021-04-26,1431971
Pfizer/BioNTech,Argentina,2021-04-26,31
Sinopharm/Beijing,Argentina,2021-04-26,1887272
Sputnik V,Argentina,2021-04-26,4438277
Oxford/AstraZeneca,Argentina,2021-04-27,1491104
Pfizer/BioNTech,Argentina,2021-04-27,32
Sinopharm/Beijing,Argentina,2021-04-27,1894634
Sputnik V,Argentina,2021-04-27,4525564
Oxford/AstraZeneca,Argentina,2021-04-28,1543264
Pfizer/BioNTech,Argentina,2021-04-28,33
Sinopharm/Beijing,Argentina,2021-04-28,1922600
Sputnik V,Argentina,2021-04-28,4604497
Oxford/AstraZeneca,Argentina,2021-04-29,1582029
Sinopharm/Beijing,Argentina,2021-04-29,1962734
Sputnik V,Argentina,2021-04-29,4681948
Oxford/AstraZeneca,Argentina,2021-04-30,1612590
Sinopharm/Beijing,Argentina,2021-04-30,1998906
Sputnik V,Argentina,2021-04-30,4730210
Oxford/AstraZeneca,Argentina,2021-05-01,1617854
Sinopharm/Beijing,Argentina,2021-05-01,2002619
Sputnik V,Argentina,2021-05-01,4741546
Oxford/AstraZeneca,Argentina,2021-05-02,1624447
Sinopharm/Beijing,Argentina,2021-05-02,2016751
Sputnik V,Argentina,2021-05-02,4761002
Oxford/AstraZeneca,Argentina,2021-05-03,1648072
Pfizer/BioNTech,Argentina,2021-05-03,34
Sinopharm/Beijing,Argentina,2021-05-03,2090739
Sputnik V,Argentina,2021-05-03,4838160
Oxford/AstraZeneca,Argentina,2021-05-04,1671688
Sinopharm/Beijing,Argentina,2021-05-04,2184852
Sputnik V,Argentina,2021-05-04,4952535
Moderna,Argentina,2021-05-05,11
Oxford/AstraZeneca,Argentina,2021-05-05,1696614
Sinopharm/Beijing,Argentina,2021-05-05,2263457
Sputnik V,Argentina,2021-05-05,5094081
Oxford/AstraZeneca,Argentina,2021-05-06,1714455
Pfizer/BioNTech,Argentina,2021-05-06,35
Sinopharm/Beijing,Argentina,2021-05-06,2328104
Sputnik V,Argentina,2021-05-06,5214494
CanSino,Argentina,2021-05-07,8
Oxford/AstraZeneca,Argentina,2021-05-07,1728420
Sinopharm/Beijing,Argentina,2021-05-07,2424237
Sputnik V,Argentina,2021-05-07,5309830
Oxford/AstraZeneca,Argentina,2021-05-08,1732479
Sinopharm/Beijing,Argentina,2021-05-08,2465858
Sputnik V,Argentina,2021-05-08,5338442
Oxford/AstraZeneca,Argentina,2021-05-09,1734219
Sinopharm/Beijing,Argentina,2021-05-09,2469357
Sputnik V,Argentina,2021-05-09,5351901
Oxford/AstraZeneca,Argentina,2021-05-10,1744149
Sinopharm/Beijing,Argentina,2021-05-10,2533539
Sputnik V,Argentina,2021-05-10,5419519
Moderna,Argentina,2021-05-11,12
Oxford/AstraZeneca,Argentina,2021-05-11,1752428
Pfizer/BioNTech,Argentina,2021-05-11,36
Sinopharm/Beijing,Argentina,2021-05-11,2598396
Sputnik V,Argentina,2021-05-11,5486892
Moderna,Argentina,2021-05-12,13
Oxford/AstraZeneca,Argentina,2021-05-12,1758213
Sinopharm/Beijing,Argentina,2021-05-12,2737781
Sputnik V,Argentina,2021-05-12,5539402
Oxford/AstraZeneca,Argentina,2021-05-13,1763917
Sinopharm/Beijing,Argentina,2021-05-13,2886514
Sputnik V,Argentina,2021-05-13,5577164
Oxford/AstraZeneca,Argentina,2021-05-14,1773129
Sinopharm/Beijing,Argentina,2021-05-14,3034888
Sputnik V,Argentina,2021-05-14,5616160
Oxford/AstraZeneca,Argentina,2021-05-15,1776215
Sinopharm/Beijing,Argentina,2021-05-15,3085341
Sputnik V,Argentina,2021-05-15,5657740
Oxford/AstraZeneca,Argentina,2021-05-16,1777690
Sinopharm/Beijing,Argentina,2021-05-16,3128651
Sputnik V,Argentina,2021-05-16,5680563
Oxford/AstraZeneca,Argentina,2021-05-17,1785002
Pfizer/BioNTech,Argentina,2021-05-17,37
Sinopharm/Beijing,Argentina,2021-05-17,3224406
Sputnik V,Argentina,2021-05-17,5764496
Oxford/AstraZeneca,Argentina,2021-05-18,1794801
Sinopharm/Beijing,Argentina,2021-05-18,3269361
Sputnik V,Argentina,2021-05-18,5908051
Oxford/AstraZeneca,Argentina,2021-05-19,1802159
Pfizer/BioNTech,Argentina,2021-05-19,38
Sinopharm/Beijing,Argentina,2021-05-19,3302721
Sputnik V,Argentina,2021-05-19,6035123
Oxford/AstraZeneca,Argentina,2021-05-20,1812671
Sinopharm/Beijing,Argentina,2021-05-20,3338010
Sputnik V,Argentina,2021-05-20,6171986
Oxford/AstraZeneca,Argentina,2021-05-21,1821883
Sinopharm/Beijing,Argentina,2021-05-21,3416239
Sputnik V,Argentina,2021-05-21,6261871
Oxford/AstraZeneca,Argentina,2021-05-22,1823410
Sinopharm/Beijing,Argentina,2021-05-22,3460238
Sputnik V,Argentina,2021-05-22,6316814
Oxford/AstraZeneca,Argentina,2021-05-23,1823828
Sinopharm/Beijing,Argentina,2021-05-23,3483118
Sputnik V,Argentina,2021-05-23,6338794
Oxford/AstraZeneca,Argentina,2021-05-24,1825011
Pfizer/BioNTech,Argentina,2021-05-24,39
Sinopharm/Beijing,Argentina,2021-05-24,3502612
Sputnik V,Argentina,2021-05-24,6406514
Oxford/AstraZeneca,Argentina,2021-05-25,1847096
Sinopharm/Beijing,Argentina,2021-05-25,3505794
Sputnik V,Argentina,2021-05-25,6444687
Oxford/AstraZeneca,Argentina,2021-05-26,1873978
Sinopharm/Beijing,Argentina,2021-05-26,3539384
Sputnik V,Argentina,2021-05-26,6537383
Oxford/AstraZeneca,Argentina,2021-05-27,1919458
Sinopharm/Beijing,Argentina,2021-05-27,3572646
Sputnik V,Argentina,2021-05-27,6628122
Oxford/AstraZeneca,Argentina,2021-05-28,2011851
Sinopharm/Beijing,Argentina,2021-05-28,3601561
Sputnik V,Argentina,2021-05-28,6752992
Oxford/AstraZeneca,Argentina,2021-05-29,2121797
Pfizer/BioNTech,Argentina,2021-05-29,40
Sinopharm/Beijing,Argentina,2021-05-29,3611469
Sputnik V,Argentina,2021-05-29,6860677
Oxford/AstraZeneca,Argentina,2021-05-30,2180952
Sinopharm/Beijing,Argentina,2021-05-30,3613093
Sputnik V,Argentina,2021-05-30,6928797
Oxford/AstraZeneca,Argentina,2021-05-31,2308189
Sinopharm/Beijing,Argentina,2021-05-31,3630002
Sputnik V,Argentina,2021-05-31,7083773
Oxford/AstraZeneca,Argentina,2021-06-01,2457293
Sinopharm/Beijing,Argentina,2021-06-01,3643564
Sputnik V,Argentina,2021-06-01,7236106
CanSino,Argentina,2021-06-02,9
Oxford/AstraZeneca,Argentina,2021-06-02,2620882
Sinopharm/Beijing,Argentina,2021-06-02,3656714
Sputnik V,Argentina,2021-06-02,7368824
Oxford/AstraZeneca,Argentina,2021-06-03,2843840
Sinopharm/Beijing,Argentina,2021-06-03,3668939
Sputnik V,Argentina,2021-06-03,7483394
Oxford/AstraZeneca,Argentina,2021-06-04,3148989
Sinopharm/Beijing,Argentina,2021-06-04,3684805
Sputnik V,Argentina,2021-06-04,7570686
Oxford/AstraZeneca,Argentina,2021-06-05,3426780
Sinopharm/Beijing,Argentina,2021-06-05,3689488
Sputnik V,Argentina,2021-06-05,7615100
Oxford/AstraZeneca,Argentina,2021-06-06,3614714
Sinopharm/Beijing,Argentina,2021-06-06,3691524
Sputnik V,Argentina,2021-06-06,7642546
Oxford/AstraZeneca,Argentina,2021-06-07,3894247
Sinopharm/Beijing,Argentina,2021-06-07,3700897
Sputnik V,Argentina,2021-06-07,7706944
Oxford/AstraZeneca,Argentina,2021-06-08,4171756
Sinopharm/Beijing,Argentina,2021-06-08,3709017
Sputnik V,Argentina,2021-06-08,7791329
CanSino,Argentina,2021-06-09,11
Moderna,Argentina,2021-06-09,14
Oxford/AstraZeneca,Argentina,2021-06-09,4430847
Pfizer/BioNTech,Argentina,2021-06-09,41
Sinopharm/Beijing,Argentina,2021-06-09,3715817
Sputnik V,Argentina,2021-06-09,7897877
Moderna,Argentina,2021-06-10,15
Oxford/AstraZeneca,Argentina,2021-06-10,4654797
Pfizer/BioNTech,Argentina,2021-06-10,42
Sinopharm/Beijing,Argentina,2021-06-10,3721875
Sputnik V,Argentina,2021-06-10,8003023
Oxford/AstraZeneca,Argentina,2021-06-11,4839025
Sinopharm/Beijing,Argentina,2021-06-11,3732616
Sputnik V,Argentina,2021-06-11,8174936
Oxford/AstraZeneca,Argentina,2021-06-12,4905056
Sinopharm/Beijing,Argentina,2021-06-12,3744701
Sputnik V,Argentina,2021-06-12,8281989
Oxford/AstraZeneca,Argentina,2021-06-13,4949720
Sinopharm/Beijing,Argentina,2021-06-13,3746527
Sputnik V,Argentina,2021-06-13,8318201
Oxford/AstraZeneca,Argentina,2021-06-14,5076666
Sinopharm/Beijing,Argentina,2021-06-14,3757166
Sputnik V,Argentina,2021-06-14,8418740
Oxford/AstraZeneca,Argentina,2021-06-15,5206038
Pfizer/BioNTech,Argentina,2021-06-15,43
Sinopharm/Beijing,Argentina,2021-06-15,3762952
Sputnik V,Argentina,2021-06-15,8541505
Oxford/AstraZeneca,Argentina,2021-06-16,5391821
Sinopharm/Beijing,Argentina,2021-06-16,3767770
Sputnik V,Argentina,2021-06-16,8638124
Moderna,Argentina,2021-06-17,16
Oxford/AstraZeneca,Argentina,2021-06-17,5620996
Sinopharm/Beijing,Argentina,2021-06-17,3774100
Sputnik V,Argentina,2021-06-17,8717092
Moderna,Argentina,2021-06-18,17
Oxford/AstraZeneca,Argentina,2021-06-18,5945812
Pfizer/BioNTech,Argentina,2021-06-18,46
Sinopharm/Beijing,Argentina,2021-06-18,3780003
Sputnik V,Argentina,2021-06-18,8785785
Oxford/AstraZeneca,Argentina,2021-06-19,6132373
Sinopharm/Beijing,Argentina,2021-06-19,3782576
Sputnik V,Argentina,2021-06-19,8829293
Oxford/AstraZeneca,Argentina,2021-06-20,6210332
Sinopharm/Beijing,Argentina,2021-06-20,3782874
Sputnik V,Argentina,2021-06-20,8850261
Oxford/AstraZeneca,Argentina,2021-06-21,6348677
Pfizer/BioNTech,Argentina,2021-06-21,47
Sinopharm/Beijing,Argentina,2021-06-21,3784175
